"fed_2012","licences","ratio","age","sex","federation"
101,1124,3.9444270930204,"all","all","Fédération Française d'athlétisme"
101,47,1.50732818062282,"20_29","f","Fédération Française d'athlétisme"
101,42,5.81073602656336,"5_9","h","Fédération Française d'athlétisme"
101,0,0,"0_4","h","Fédération Française d'athlétisme"
101,68,6.00865953874702,"15_19","f","Fédération Française d'athlétisme"
101,645,4.78490196514811,"all","h","Fédération Française d'athlétisme"
101,104,15.2113500073131,"10_14","f","Fédération Française d'athlétisme"
101,28,3.89105058365759,"5_9","f","Fédération Française d'athlétisme"
101,0,0,"75_99","f","Fédération Française d'athlétisme"
101,36,2.12765957446809,"60_74","f","Fédération Française d'athlétisme"
101,81,2.6664033181908,"20_29","h","Fédération Française d'athlétisme"
101,91,3.5108024691358,"45_59","f","Fédération Française d'athlétisme"
101,479,3.18993074054342,"all","f","Fédération Française d'athlétisme"
101,103,3.74082951986635,"30_44","f","Fédération Française d'athlétisme"
101,226,3.97411549553352,"30_44","all","Fédération Française d'athlétisme"
101,2,0.270526173407277,"75_99","h","Fédération Française d'athlétisme"
101,74,2.53121258765179,"60_74","all","Fédération Française d'athlétisme"
101,220,4.53290476779165,"45_59","all","Fédération Française d'athlétisme"
101,129,2.09555060998392,"20_29","all","Fédération Française d'athlétisme"
101,38,3.08541734329328,"60_74","h","Fédération Française d'athlétisme"
101,129,5.70443088352348,"45_59","h","Fédération Française d'athlétisme"
101,123,4.19308652076089,"30_44","h","Fédération Française d'athlétisme"
101,0,0,"0_4","f","Fédération Française d'athlétisme"
101,144,20.7732256203116,"10_14","h","Fédération Française d'athlétisme"
101,70,4.85302273987798,"5_9","all","Fédération Française d'athlétisme"
101,248,18.0127832655433,"10_14","all","Fédération Française d'athlétisme"
101,2,0.0883080183680678,"75_99","all","Fédération Française d'athlétisme"
101,155,7.22577036035616,"15_19","all","Fédération Française d'athlétisme"
101,86,8.48628379711861,"15_19","h","Fédération Française d'athlétisme"
101,0,0,"0_4","all","Fédération Française d'athlétisme"
102,56,2.16049382716049,"45_59","f","Fédération Française des sociétés d'aviron"
102,0,0,"0_4","h","Fédération Française des sociétés d'aviron"
102,141,4.52198454186845,"20_29","f","Fédération Française des sociétés d'aviron"
102,5,0.676315433518193,"75_99","h","Fédération Française des sociétés d'aviron"
102,0,0,"5_9","f","Fédération Française des sociétés d'aviron"
102,6,0.354609929078014,"60_74","f","Fédération Française des sociétés d'aviron"
102,795,5.89766986401976,"all","h","Fédération Française des sociétés d'aviron"
102,43,3.49139330951608,"60_74","h","Fédération Française des sociétés d'aviron"
102,0,0,"5_9","all","Fédération Française des sociétés d'aviron"
102,44,3.88795617213042,"15_19","f","Fédération Française des sociétés d'aviron"
102,0,0,"0_4","f","Fédération Française des sociétés d'aviron"
102,95,13.7045585689556,"10_14","h","Fédération Française des sociétés d'aviron"
102,155,15.2950463785277,"15_19","h","Fédération Française des sociétés d'aviron"
102,0,0,"5_9","h","Fédération Française des sociétés d'aviron"
102,131,4.46580759528193,"30_44","h","Fédération Française des sociétés d'aviron"
102,385,6.25416267320782,"20_29","all","Fédération Française des sociétés d'aviron"
102,177,3.64692792681419,"45_59","all","Fédération Française des sociétés d'aviron"
102,38,5.55799327190288,"10_14","f","Fédération Française des sociétés d'aviron"
102,133,9.66008134805346,"10_14","all","Fédération Française des sociétés d'aviron"
102,0,0,"75_99","f","Fédération Française des sociétés d'aviron"
102,82,2.97813612261204,"30_44","f","Fédération Française des sociétés d'aviron"
102,245,8.06504707354006,"20_29","h","Fédération Française des sociétés d'aviron"
102,49,1.67607319993159,"60_74","all","Fédération Française des sociétés d'aviron"
102,1162,4.07777961040009,"all","all","Fédération Française des sociétés d'aviron"
102,200,9.32357465852408,"15_19","all","Fédération Française des sociétés d'aviron"
102,5,0.22077004592017,"75_99","all","Fédération Française des sociétés d'aviron"
102,0,0,"0_4","all","Fédération Française des sociétés d'aviron"
102,214,3.76310051346979,"30_44","all","Fédération Française des sociétés d'aviron"
102,367,2.44405966968567,"all","f","Fédération Française des sociétés d'aviron"
102,120,5.30644733351021,"45_59","h","Fédération Française des sociétés d'aviron"
103,8,1.10680686220255,"5_9","h","Fédération Française de badminton"
103,0,0,"75_99","h","Fédération Française de badminton"
103,0,0,"0_4","f","Fédération Française de badminton"
103,177,5.67653378660081,"20_29","f","Fédération Française de badminton"
103,386,6.27040725157979,"20_29","all","Fédération Française de badminton"
103,46,6.72809711861928,"10_14","f","Fédération Française de badminton"
103,0,0,"0_4","h","Fédération Française de badminton"
103,772,5.72704545285944,"all","h","Fédération Française de badminton"
103,1,0.0591016548463357,"60_74","f","Fédération Française de badminton"
103,209,6.87997893212193,"20_29","h","Fédération Française de badminton"
103,461,8.10649222761483,"30_44","all","Fédération Française de badminton"
103,0,0,"75_99","f","Fédération Française de badminton"
103,1228,4.30939187742798,"all","all","Fédération Française de badminton"
103,100,2.06041125808711,"45_59","all","Fédération Française de badminton"
103,4,0.32478077297824,"60_74","h","Fédération Française de badminton"
103,5,0.17102787754404,"60_74","all","Fédération Française de badminton"
103,49,4.32976937350888,"15_19","f","Fédération Française de badminton"
103,311,10.6020317720052,"30_44","h","Fédération Française de badminton"
103,84,12.1177149451818,"10_14","h","Fédération Française de badminton"
103,28,1.08024691358025,"45_59","f","Fédération Française de badminton"
103,72,3.18386840010613,"45_59","h","Fédération Française de badminton"
103,150,5.44780998038788,"30_44","f","Fédération Française de badminton"
103,0,0,"0_4","all","Fédération Française de badminton"
103,456,3.03676078849227,"all","f","Fédération Française de badminton"
103,0,0,"75_99","all","Fédération Française de badminton"
103,12,0.831946755407654,"5_9","all","Fédération Française de badminton"
103,84,8.28892835997632,"15_19","h","Fédération Française de badminton"
103,4,0.555864369093941,"5_9","f","Fédération Française de badminton"
103,133,6.20017714791851,"15_19","all","Fédération Française de badminton"
103,130,9.44218477629285,"10_14","all","Fédération Française de badminton"
105,7,0.41371158392435,"60_74","f","Fédération Française de basketball"
105,479,7.78115304017284,"20_29","all","Fédération Française de basketball"
105,1565,11.6098784115609,"all","h","Fédération Française de basketball"
105,0,0,"0_4","h","Fédération Française de basketball"
105,251,34.7260653016049,"5_9","h","Fédération Française de basketball"
105,0,0,"0_4","f","Fédération Française de basketball"
